f, Y1, Y2, Y3, Y4
20.0,0.009486046,0.009505877,0.009545098,0.009523786
20.2,0.009452031,0.009472514,0.009515244,0.009492731
20.4,0.009420777,0.009441961,0.009488539,0.00946473
20.6,0.009392328,0.009414269,0.009465076,0.009439862
20.8,0.009366737,0.009389499,0.009444966,0.009418225
21.0,0.009344071,0.009367724,0.009428342,0.009399934
21.2,0.009324408,0.009349034,0.00941536,0.009385126
21.4,0.00930784,0.009333532,0.009406204,0.009373962
21.6,0.009294476,0.009321341,0.009401092,0.009366631
21.8,0.009284443,0.009312604,0.00940028,0.009363357
22.0,0.009277891,0.009307488,0.00940407,0.009364401
22.2,0.009274991,0.009306189,0.00941282,0.009370071
22.4,0.009275945,0.009308934,0.00942695,0.009380731
22.6,0.009280986,0.00931599,0.009446961,0.009396807
22.8,0.009290383,0.009327668,0.009473443,0.009418805
23.0,0.009304447,0.009344333,0.009507098,0.009447314
23.2,0.009323529,0.009366412,0.009548751,0.009483027
23.4,0.00934802,0.00939441,0.009599367,0.009526743
23.6,0.009378332,0.009428916,0.00966005,0.009579357
23.8,0.009414839,0.009470626,0.009732015,0.009641821
24.0,0.00945776,0.009520351,0.009816479,0.009715017
24.2,0.009506896,0.009579027,0.009914379,0.009799443
24.4,0.009561294,0.009647709,0.01002566,0.009894509
24.6,0.009619328,0.009727522,0.01014765,0.009996963
24.8,0.009680723,0.009819526,0.01027142,0.01009765
25.0,0.009750132,0.009924392,0.01037502,0.01017556
25.2,0.009835663,0.01004173,0.01041262,0.01019058
25.4,0.009941957,0.01016894,0.01030612,0.01008694
25.6,0.01006844,0.01029998,0.009970427,0.009836602
25.8,0.01021165,0.01042539,0.009410924,0.009510279
26.0,0.01036495,0.01053208,0.008800663,0.009249631
26.2,0.01051441,0.01059259,0.008352479,0.009132139
26.4,0.01063158,0.01054389,0.008139601,0.009131412
26.6,0.01066728,0.01029094,0.008112045,0.009180148
26.8,0.01056198,0.009778187,0.008195552,0.009223854
27.0,0.01029177,0.009097194,0.008337024,0.009250852
27.2,0.009905554,0.0084601,0.008505584,0.009291415
27.4,0.009466966,0.008023911,0.008682469,0.009370189
27.6,0.008995946,0.007814155,0.00885163,0.009466855
27.8,0.008534107,0.007781614,0.008992848,0.009519497
28.0,0.008180299,0.007863304,0.009080475,0.00944452
28.2,0.008003243,0.008008679,0.009096917,0.009178604
28.4,0.007991511,0.008180105,0.009061311,0.008752921
28.6,0.008094442,0.008343991,0.009034604,0.008313065
28.8,0.008265581,0.008469174,0.009072153,0.00800758
29.0,0.008474713,0.008538836,0.009184491,0.007881502
29.2,0.008704108,0.00856735,0.009347337,0.007892627
29.4,0.008941959,0.008597899,0.009522202,0.007972204
29.6,0.0091765,0.008670028,0.009662042,0.008057565
29.8,0.009390959,0.008795702,0.009711973,0.00810637
30.0,0.009560563,0.008967091,0.009625699,0.008113952
